compound,n1,n2,n3
wallpaper,wall,paper,
woodpile,wood,pile,
crossroad,cross,road,
gentleman,gentle,man,
milestone,mile,stone,
darkroom,dark,room,
waterspout,water,spout,
hairline,hair,line,
welldressed,well,dressed,
undercut,under,cut,
headmistress,head,mistress,
oversleep,over,sleep,
briefcase,brief,case,
droplet,drop,let,
loophole,loop,hole,
handcuff,hand,cuff,
browbeat,brow,beat,
roseball,rose,ball,
mainstream,main,stream,
seafarer,sea,farer,
hijack,hi,jack,
earthward,earth,ward,
cloudnine,cloud,nine,
rosebud,rose,bud,
hangout,hang,out,
greenback,green,back,
superfood,super,food,
moreover,more,over,
foxglove,fox,glove,
postdoctoral,post,doctoral,
beachfront,beach,front,
overshoe,over,shoe,
childcare,child,care,
brickwork,brick,work,
counterweight,counter,weight,
flightattendant,flight,attendant,
greenhorn,green,horn,
frogman,frog,man,
jawbone,jaw,bone,
airport,air,port,
sunshine,sun,shine,
underdog,under,dog,
bigmouth,big,mouth,
firetruck,fire,truck,
windfall,wind,fall,
superhuman,super,human,
zookeeper,zoo,keeper,
withdraw,with,draw,
bonedry,bone,dry,
reindeer,rein,deer,
undershirt,under,shirt,
outfield,out,field,
hotwire,hot,wire,
startup,start,up,
baldhead,bald,head,
beachhead,beach,head,
bulldog,bull,dog,
counterstrike,counter,strike,
airstrike,air,strike,
shellfish,shell,fish,
sailboat,sail,boat,
foremost,fore,most,
sidekick,side,kick,
coldhearted,cold,hearted,
overprice,over,price,
saucepan,sauce,pan,
pillbox,pill,box,
wheelbarrow,wheel,barrow,
upstairs,up,stairs,
lumberjack,lumber,jack,
dinnertable,dinner,table,
handwaving,hand,waving,
textbook,text,book,
beefsteak,beef,steak,
pitchfork,pitch,fork,
taxicab,taxi,cab,
headdress,head,dress,
boardsailing,board,sailing,
overland,over,land,
strongbox,strong,box,
hereafter,here,after,
roadway,road,way,
grandson,grand,son,
overlook,over,look,
hotbed,hot,bed,
steakhouse,steak,house,
silverware,silver,ware,
corndog,corn,dog,
earthquake,earth,quake,
bluestocking,blue,stocking,
workforce,work,force,
wellbehaved,well,behaved,
highwire,high,wire,
goldmine,gold,mine,
skyscraper,sky,scraper,
haircut,hair,cut,
socialmedia,social,media,
livingroom,living,room,
onlooker,on,looker,
overpaid,over,paid,
greeneyed,green,eyed,
familyrestaurant,family,restaurant,
brainteaser,brain,teaser,
joystick,joy,stick,
streetfood,street,food,
overlap,over,lap,
printout,print,out,
courthouse,court,house,
stronghold,strong,hold,
songbird,song,bird,
granddaughter,grand,daughter,
fashionweek,fashion,week,
mockingbird,mocking,bird,
breaststroke,breast,stroke,
backhand,back,hand,
halfback,half,back,
boyfriend,boy,friend,
limestone,lime,stone,
plaything,play,thing,
footballmad,football,mad,
fishhook,fish,hook,
overweight,over,weight,
busywork,busy,work,
himself,him,self,
shuffleboard,shuffle,board,
dashboard,dash,board,
freeway,free,way,
feedback,feed,back,
waterfront,water,front,
overfull,over,full,
beekeeper,bee,keeper,
oilcan,oil,can,
shopkeeper,shop,keeper,
seaplane,sea,plane,
runway,run,way,
ripsaw,rip,saw,
onward,on,ward,
afternoon,after,noon,
railroad,rail,road,
chopstick,chop,stick,
bridegroom,bride,groom,
bagpipes,bag,pipes,
knockout,knock,out,
beehive,bee,hive,
sandcastle,sand,castle,
birdman,bird,man,
badmouth,bad,mouth,
carport,car,port,
goldfish,gold,fish,
flowerbed,flower,bed,
blackberry,black,berry,
bowlegged,bow,legged,
kneecap,knee,cap,
homemade,home,made,
drainpipe,drain,pipe,
backwoods,back,woods,
bearskin,bear,skin,
hightech,high,tech,
outflow,out,flow,
pocketbook,pocket,book,
inkblot,ink,blot,
meanwhile,mean,while,
cheeseburger,cheese,burger,
superstrong,super,strong,
workplace,work,place,
driftwood,drift,wood,
hangman,hang,man,
steamboat,steam,boat,
brainwash,brain,wash,
outrank,out,rank,
sailfish,sail,fish,
standstill,stand,still,
fingerprint,finger,print,
catfish,cat,fish,
jaybird,jay,bird,
superuser,super,user,
hallway,hall,way,
lopsided,lop,sided,
widespread,wide,spread,
kettledrum,kettle,drum,
matchbook,match,book,
weightlifter,weight,lifter,
lowlife,low,life,
daylight,day,light,
hottrack,hot,track,
shorthand,short,hand,
snowwhite,snow,white,
quickfire,quick,fire,
allaround,all,around,
handgun,hand,gun,
ourselves,our,selves,
fingertip,finger,tip,
overtake,over,take,
hideaway,hide,away,
thighbone,thigh,bone,
earthworm,earth,worm,
blowout,blow,out,
stockpile,stock,pile,
underclothing,under,clothing,
breadcrumbs,bread,crumbs,
checkcard,check,card,
timeline,time,line,
flyweight,fly,weight,
stingray,sting,ray,
beachwear,beach,wear,
grandchild,grand,child,
overgrown,over,grown,
dogfood,dog,food,
gemstone,gem,stone,
rainfall,rain,fall,
snowbound,snow,bound,
spyglass,spy,glass,
hogtie,hog,tie,
rearview,rear,view,
lifelong,life,long,
nightfall,night,fall,
footwear,foot,wear,
bearberry,bear,berry,
businesslike,business,like,
moonbeam,moon,beam,
secondhand,second,hand,
bloodstream,blood,stream,
landfall,land,fall,
airplane,air,plane,
downburst,down,burst,
hardwire,hard,wire,
workmanlike,work,man,like
doghouse,dog,house,
highflier,high,flier,
outtake,out,take,
homerun,home,run,
postmark,post,mark,
caretaker,care,taker,
loudspeaker,loud,speaker,
brushwood,brush,wood,
offside,off,side,
blowpipe,blow,pipe,
tablespoon,table,spoon,
thunderbird,thunder,bird,
manpower,man,power,
homeward,home,ward,
playpen,play,pen,
hailstone,hail,stone,
billboard,bill,board,
awestruck,awe,struck,
handhold,hand,hold,
schoolbus,school,bus,
upwind,up,wind,
deide,de,ide,
mayflower,may,flower,
foreclose,fore,close,
groceryshopping,grocery,shopping,
earthbound,earth,bound,
lukewarm,luke,warm,
foursquare,four,square,
cardboard,card,board,
swimsuit,swim,suit,
wetlands,wet,lands,
chestnut,chest,nut,
lakebed,lake,bed,
breakeven,break,even,
